job_role,job_description
Go Developer,"Go, concurrency, microservices, docker, kubernetes, REST APIs, performance optimization, cloud native applications, gRPC, testing, goroutines"
Rust Developer,"Rust, memory safety, performance, systems programming, concurrent programming, WebAssembly, embedded systems, smart contracts, blockchain development"
DevSecOps Engineer,"security, DevOps, CI/CD, Docker, Kubernetes, vulnerability scanning, penetration testing, secure coding, compliance, SIEM, monitoring, automation"
Platform Engineer,"Kubernetes, Docker, cloud platforms, infrastructure automation, developer experience, platform scaling, observability, monitoring, cost optimization, security"
Site Reliability Engineer,"system reliability, monitoring, alerting, incident response, automation, Infrastructure as Code, performance optimization, scalability, on-call management"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning, SOQL, REST APIs, Salesforce customization, configuration, data integration, workflow automation, testing"
PHP Developer,"PHP, Laravel, Symfony, MySQL, PostgreSQL, REST APIs, MVC architecture, web development, templating engines, composer, version control, testing"
Ruby Developer,"Ruby, Rails, Ruby on Rails, web development, databases, REST APIs, testing frameworks, RSpec, agile development, convention over configuration"
Python Developer,"Python, Django, Flask, FastAPI, scripting, data manipulation, pandas, numpy, libraries, testing, design patterns, web development, automation"
JavaScript Developer,"JavaScript, Node.js, React, Vue, Angular, TypeScript, async programming, DOM manipulation, testing frameworks, npm, build tools, version control"
R Developer,"R, data analysis, statistical modeling, ggplot2, dplyr, tidyverse, data visualization, statistical testing, machine learning with R, R Markdown"
TypeScript Developer,"TypeScript, type safety, Angular, React, Node.js, object-oriented programming, design patterns, testing, tooling, tsconfig, webpack, strict mode"
